point_id,session_id,ai_id,vector_name,self_assessed,grounded,gap,domain,goal_id,timestamp
59b50ac5-059c-4d58-9713-efc8ea9c040a,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,know,0.82,1.0,-0.18,,,1769883070.316436
f5217f0a-1b1e-417d-bb01-9531da9dc48d,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,do,0.8,,,,,1769883070.316436
30ee4c52-3962-47b1-af76-99d0abce93b6,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,context,0.85,1.0,-0.15,,,1769883070.316436
4def3f80-b199-4dfe-9ef3-4dca5174d7de,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,clarity,0.8,,,,,1769883070.316436
6abe6b8c-598d-40ed-94c6-bc086e00fd9d,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,signal,0.75,1.0,-0.25,,,1769883070.316436
72632aab-7213-4c7b-a2c2-2809e10eb160,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,state,0.85,,,,,1769883070.316436
78436f01-e3cc-4654-b01e-46b1990fd067,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,change,0.7,,,,,1769883070.316436
b7ef295c-3677-434f-8d4a-217bef78e44a,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,completion,0.8,,,,,1769883070.316436
dcbe1f7f-d185-4b2a-84cf-bfe9cd95a29f,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,impact,0.7,,,,,1769883070.316436
44942178-6809-4d97-9c88-f93b5d1bf536,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,uncertainty,0.15,0.0,0.15,,,1769883070.316436
8c0ebf90-7579-4639-8025-3f51a85ba27d,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,know,0.88,1.0,-0.12,,,1769939618.705119
a264a9d8-cb88-46e9-a8bb-8e17e9832487,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,do,0.85,,,,,1769939618.705119
a412b68e-9270-403d-a7d1-c06a5d4b3df6,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,context,0.85,,,,,1769939618.705119
a91296ba-42bb-4e19-be65-035a11d7c039,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,clarity,0.85,,,,,1769939618.705119
4aff1e31-e1bb-47eb-b223-c6b142fd0350,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,signal,0.75,1.0,-0.25,,,1769939618.705119
1ca95a3b-af96-4fa9-b406-ab81109fa847,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,state,0.8,,,,,1769939618.705119
f45f064f-a68a-4fd4-b66a-6d8b63559ab3,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,change,0.75,,,,,1769939618.705119
a4a596f6-6a32-457a-baef-342466cec985,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,completion,0.9,,,,,1769939618.705119
453dc4a4-e630-4dfe-a1e5-ceecdfe6c2ea,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,impact,0.75,,,,,1769939618.705119
e2e49280-7ffe-47b5-a66c-5ddd846c6eb7,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,uncertainty,0.15,0.0,0.15,,,1769939618.705119
ff132440-015e-479e-9562-189f011a6759,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,know,0.88,0.5,0.38,,,1769943775.850366
09a31265-7123-4e98-8d74-d398520e5a0f,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,do,0.92,1.0,-0.08,,,1769943775.850366
69129d8d-46b1-4b04-b23c-4b9df3b78899,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,context,0.85,1.0,-0.15,,,1769943775.850366
34a81343-0dc9-4590-85a7-5257ae200350,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,clarity,0.85,,,,,1769943775.850366
359d95fc-c1db-4f5c-8760-bb9f8b520871,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,signal,0.82,1.0,-0.18,,,1769943775.850366
c39ae1a9-4f63-434f-a31c-a849b2fff617,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,state,0.85,,,,,1769943775.850366
d22a7414-9c7b-4c36-aac2-1f8cb6b72e30,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,change,0.8,,,,,1769943775.850366
