belief_id,session_id,ai_id,vector_name,mean,variance,evidence_count,last_observation,last_observation_source,self_referential_mean,divergence,last_updated
52d7966c-195b-45f6-8dfc-f68db2f330a8,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,signal,0.866666666666667,0.0666666666666667,2,1.0,artifacts,0.75,-0.1167,1769883070.28674
3e48c2bd-6fda-418e-938a-4d0428ca3cf4,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,know,0.888888888888889,0.0555555555555556,1,1.0,artifacts,0.82,-0.0689,1769883070.28678
a0f16567-36d1-49bf-80c4-197d3c717356,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,uncertainty,0.111111111111111,0.0555555555555556,1,0.0,artifacts,0.15,0.0389,1769883070.28679
2a2501a1-2a51-411e-a79b-4f4e1048588a,1d5e5d98-db51-44af-b647-46cb07561384,claude-code,context,0.888888888888889,0.0555555555555556,1,1.0,sentinel,0.85,-0.0389,1769883070.2868
1e7866b5-2390-4501-aa11-c6d84fc3e4c5,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,signal,0.923076923076923,0.0384615384615385,4,1.0,artifacts,0.75,-0.1731,1769939618.67926
b8601f0b-1712-473c-bb43-6dd221021817,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,know,0.9375,0.03125,2,1.0,artifacts,0.88,-0.0575,1769939618.6793
f36e79ce-9768-4489-8afe-5a8ab4a3641c,a02f6d2a-b534-4966-ab84-ce7bc41f454f,claude-code,uncertainty,0.0625,0.03125,2,0.0,artifacts,0.15,0.0875,1769939618.67932
c188c76d-1723-4737-95d7-af3fb09e37fa,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,completion,0.888888888888889,0.0555555555555556,1,1.0,goals,0.95,0.0611,1769943775.82409
816c91a6-d7be-435d-8128-6cb23bf2e830,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,do,0.888888888888889,0.0555555555555556,1,1.0,goals,0.92,0.0311,1769943775.82414
1036ba09-ff8f-4b15-ae92-d30b602c06d5,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,know,0.804347826086957,0.0217391304347826,4,0.5,artifacts,0.88,0.0757,1769943775.82415
fdfb3856-4bc3-441f-a555-418fb7cf3dd4,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,signal,0.945945945945946,0.027027027027027,6,1.0,artifacts,0.82,-0.1259,1769943775.82415
e2658fa6-0fbb-49eb-9814-f02f2b931abc,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,uncertainty,0.116279069767442,0.0232558139534884,4,0.272727272727273,artifacts,0.12,0.0037,1769943775.82416
3723f323-3e8d-43fa-bf07-13322313a0bf,a46e16f8-5f07-4571-95f0-2ba416264a5d,claude-code,context,0.9375,0.03125,2,1.0,sentinel,0.85,-0.0875,1769943775.82416
aca59ba2-10a9-4347-ac7f-300befebc0bd,bdc94bf1-274e-413c-b6f4-cc8b970b97f9,claude-code,context,0.956521739130435,0.0217391304347826,3,1.0,sentinel,0.8,-0.1565,1769945929.76722
275243be-6e14-423a-a4f6-b05339d109d6,95fb76e8-d82b-46f0-8c49-69a33a7495db,claude-code,completion,0.5,0.03125,2,0.0,goals,0.3,-0.2,1769948860.28243
911b7984-9f25-40b2-8a1f-a0b1a6622e58,95fb76e8-d82b-46f0-8c49-69a33a7495db,claude-code,do,0.5,0.03125,2,0.0,goals,0.85,0.35,1769948860.28247
